record_id,title,abstract,authors,year,label_included,review_id,source
CD014965_pub2_2,McCracken 2002,"",McCracken,2002,1,CD014965_pub2,pairwise70_included
CD013774_pub2_excl_1,Topic-related study 1,"",Author_6227,2021,0,CD013774_pub2,synthetic_excluded
CD011044_pub3_18,Wang 2002,"",Wang,2002,1,CD011044_pub3,pairwise70_included
CD015330_pub2_32,Leme 2018,"",Leme,2018,1,CD015330_pub2,pairwise70_included
CD013781_pub2_15,Cholley 2017,"",Cholley,2017,1,CD013781_pub2,pairwise70_included
CD002115_pub6_excl_1,Topic-related study 1,"",Author_8859,2018,0,CD002115_pub6,synthetic_excluded
CD004871_pub5_29,Zhang Jun 2013,"",Zhang Jun,2013,1,CD004871_pub5,pairwise70_included
CD016064_excl_50,Topic-related study 50,"",Author_2698,2021,0,CD016064,synthetic_excluded
CD006257_pub2_23,Sano 1994,"",Sano,1994,1,CD006257_pub2,pairwise70_included
CD013232_pub2_5,Owen 2009,"",Owen,2009,1,CD013232_pub2,pairwise70_included
CD015383_pub2_excl_5,Topic-related study 5,"",Author_5681,2020,0,CD015383_pub2,synthetic_excluded
CD014964_pub2_17,Grau 2001a,"",Grau,2001,1,CD014964_pub2,pairwise70_included
CD010216_pub9_excl_28,Topic-related study 28,"",Author_2961,2020,0,CD010216_pub9,synthetic_excluded
CD011044_pub3_excl_60,Topic-related study 60,"",Author_5809,2014,0,CD011044_pub3,synthetic_excluded
CD006257_pub2_excl_2,Topic-related study 2,"",Author_5947,1988,0,CD006257_pub2,synthetic_excluded
CD010001_pub4_37,Kansouh 2017,"",Kansouh,2017,1,CD010001_pub4,pairwise70_included
CD015064_pub2_6,Eichenfield 2002a,"",Eichenfield,2002,1,CD015064_pub2,pairwise70_included
CD010856_pub3_5,DHSS Wales 1969,"",DHSS Wales,1969,1,CD010856_pub3,pairwise70_included
CD002290_pub6_35,Ishikura 2008,"",Ishikura,2008,1,CD002290_pub6,pairwise70_included
CD001533_pub7_34,ISKDC 1979,"",ISKDC,1979,1,CD001533_pub7,pairwise70_included
CD014871_pub2_excl_1,Topic-related study 1,"",Author_6215,2012,0,CD014871_pub2,synthetic_excluded
CD003962_pub3_11,Chen 2007,"",Chen,2007,1,CD003962_pub3,pairwise70_included
