record_id,title,abstract,authors,year,label_included,review_id
17817462,Timber management: improvement implies new land-use policies.,"",Carter,1970,1,CD000028_pub4
4098780,IgD antibody to insuin.,"",Devey,1970,1,CD000028_pub4
17777823,Department of interior: hickel leaves a diminished agency.,"",Carter,1970,1,CD000028_pub4
3655620,Early oral contraceptive use and breast cancer: theoretical effects of latency.,"Many cancers and other chronic diseases are associated with a long delay between exposure to a putative risk factor and subsequent diagnosis. This presents well recognised problems in the elucidation of suspected risk factors by epidemiological methods. In this paper we discuss the interpretation in epidemiological studies of the effect of a possible risk factor when population exposure is recent and rapidly changing. An important contemporary example concerns the study of early oral contraceptive (OC) use in relation to the subsequent risk of breast cancer. Computer simulations reported here indicate that plausible delays in the manifestation of any effect on breast cancer incidence make it difficult to exclude early OC use as a risk factor for breast cancer, even when large well conducted epidemiological studies show no apparent increased risk. Methods for detecting a 'latent' effect are discussed.",McPherson,1986,1,CD000028_pub4
3094811,Randomised trial of treatment of hypertension in elderly patients in primary care.,"A randomised trial of the treatment of hypertension in 884 patients aged 60 to 79 years at the onset showed a reduction of 18/11 mm Hg in blood pressure over a mean follow up period of 4.4 years. The principal antihypertensive agents were atenolol and bendrofluazide. There was a reduction in the rate of fatal stroke in the treatment group to 30% of that in the control group (95% confidence interval 11-84%, p less than 0.025). The rate of all strokes (fatal and non-fatal) in the treatment group was 58% of that in the control group (95% confidence interval 35-96%, p less than 0.03). The incidence of myocardial infarction and total mortality was unaffected by treatment. Questionnaires completed by the patients and their relatives failed to identify any differences in symptoms that were likely to be due to treatment.",Coope,1986,1,CD000028_pub4
3772282,Trends in blood lead levels in Christchurch (NZ) and environs 1978-85.,"Blood lead levels have been monitored since 1974 and have shown a significant decrease (p less than 0.001) from 1978 to 1985 in 2830 subjects from Christchurch and environs. From a baseline in August 1978-81 to August 1985 blood lead levels in a population which had no relevant exposure to lead other than that from the general environment have fallen in adult males and females (greater than 17 years) by 42%, and in school and pre-school children greater than 9 months by 44% and 46% respectively. Reduction of blood lead has accelerated during the last three years. This can be linked to changes in dietary intake and clean up of lead in domestic and industrial environments. Over this decade the lead content of petrol (0.84 g/l) and petrol sales have remained unchanged.",Hinton,1986,1,CD000028_pub4
7341714,[Is Cox's theory applicable to cancer survival analysis? (author's transl)].,"",Maetani,1981,1,CD000028_pub4
6946881,Biochemical activities of lysosomal acid hydrolases in leukemic cells.,"The biochemical activities of 8 lysosomal acid hydrolases in leukemic cells from 48 patients were examined. Characteristic alterations were found in alpha-mannosidase, beta-galactosidase and N-acetyl-beta-glucosaminidase activities of leukemic cells. The level of alpha-mannosidase activity was much higher in myelo(mono)genous leukemias (AML, AMoL, AMMoL, CML and CMMoL) than in lymphogenous ones (ALL, T-cell leukemia, hairy cell leukemia and CLL) without exception. The beta-galactosidase activity also differed as a result of alpha-mannosidase, except in T-cell leukemia. In T-cell leukemia it was within the range of normal lymphocytes, but in the other lymphogenous leukemias it was significantly below normal. N-acetyl-beta-glucosaminidase activity in myelo(mono)genous leukemic cells was above the range of normal granulocytes. The changes in these enzyme levels were consistent. The lymphocytic or myelocytic nature of three cases of acute undifferentiated leukemia could be determined by enzyme studies. In two cases it was lymphocytic and in one it was myelocytic. The enzymatic abnormalities were also found in morphologically mature neutrophils from patients but not only chronic types (CML, CMMoL) but also acute types (AMoL, AMMoL) of leukemias, and were similar to those of their respective leukemic cells. Analysis of lysosomal enzymes (at least three of those mentioned above), can elucidate one of the biochemical properties of leukemic cells and may be valuable in the differentiation of leukemias.",Tanaka,1981,1,CD000028_pub4
7345382,[A case of arterio-venous malformation associated with agenesis of unilateral internal carotid artery (author's transl)].,"A case of arterio-venous malformation (AVM) at the right parietal area in association with agenesis of the left internal carotid artery (ICA) is described. A 27-year-old male complained of severe headache and vomiting on September 27th in 1980. He lost his consciousness and became stuporous within several minutes after the ictus. He was then transferred to Kurume University Hospital. On admission, he was semicomatose, anisocoria and left hemiparesis marked in the lower limbs, and bilateral Babinski reflex were noted. A emergency CT scan revealed a round high density area suggesting intracerebral hematoma at the right parieto-occipital area. Right retrograde brachial angiography was then performed which showed a small AVM at the right parietal lobe mainly fed by the right posterior parietal arterial branch, and drained into the superior sagittal sinus, via the subcortial veins. Left MCA bilateral PCA and SCA also were demonstrated on the angiogram. The angiogram suggested on abnormality of the Willis ring. Emergency operation fro the small AVM associated with intracerebral hematoma was then performed. The AVM was sufficiently removed and approximately 80 gr. of intracerebral clots were also evacuated completely. Histological examination indicated a typical small AVM. The postoperative course was uneventful. Left CAG performed by seldinger method from the femoral artery after the operation showed no demonstration of the left ICA. the left common carotid artery was terminated as the external carotid artery without carotid bifurcation at the neck. The left ophthalmic artery was fed by the meningeal artery of the internal maxillary artery. Left vertebrobasilar system was normal. From an angiogram, the agenesis of the left ICA was most suspected. An agenesis of ICA was uncommon among the literature in which there was no case with this anomaly associated with cerebral AVM. The embryological consideration about this case was mainly discussed.",Honda,1981,1,CD000028_pub4
6794796,Blood pressure reduction in elderly: a randomised controlled trial of methyldopa.,"A total of 123 out of 549 elderly residents of local authority welfare homes in Nottinghamshire were found at screening to have a standing or lying diastolic blood pressure of 100 mm Hg or more. These 123 subjects were randomly allocated to simple observation or to treatment with methyldopa. The cumulative mortality was similar in the observed and treated groups and in the normotensive group from which the subjects had been separated. Thus moderate hypertension, whether treated or not, was not a major risk predictor in the elderly population studied.",Sprackling,1981,1,CD000028_pub4
